,,,,,,,,,,,,,,,,Code,Stock,Open,Last,Prv Close,Chg,High,Low,Y-High,Y-Low,Vol,DY*,B%,Vol MA (20),RSI (14),"MACD (26, 12)",EPS*,P/E,Status ,Sector
6874,KUB,0.735,0.74,0.745,-0.005,0.745,0.735,0.84,0.535,1771,4.73%,27,208360,74%,0.022,6.42,11.53,Active,,,,,,,,,,,,,,,,,KUB
7579,AWC,0.545,0.54,0.545,-0.005,0.545,0.54,1.18,0.535,1605,1.85%,46,395335,31%,-0.006,6.1,7.47,Active,,,,,,,,,,,,,,,,,AWC
8524,TALIWRK,0.54,0.565,0.54,+0.025,0.57,0.54,0.805,0.535,10049,7.96%,54,1112005,48%,-0.014,3.63,11.11,Active,,,,,,,,,,,,,,,,,TALIWRK
5001,MIECO,,,0.665,,-,-,0.75,0.545,0,,-,161610,100%,,0.15,432.94,Active,,,,,,,,,,,,,,,,,MIECO
1503,GUOCO,0.62,0.62,0.62,-,0.62,0.615,0.76,0.55,326,3.23%,16,42265,20%,-0.005,8.12,7.78,Active,,,,,,,,,,,,,,,,,GUOCO
5180,CLMT,0.62,0.615,0.62,-0.005,0.62,0.615,0.705,0.55,18995,7.56%,55,2794180,25%,-0.007,6.63,10.95,Active,,,,,,,,,,,,,,,,,CLMT
9679,WCT,0.84,0.835,0.84,-0.005,0.845,0.82,1.14,0.555,59217,,46,7965715,56%,0.029,19.05,4.05,Active,,,,,,,,,,,,,,,,,WCT
0652G3,HSI-CWG3,,,0.605,,-,-,0.71,0.56,0,,-,-,0%,,,,Active,,,,,,,,,,,,,,,,,HSI-CWG3
2429WC,TANCO-WC,,,0.625,,-,-,1.85,0.56,0,,-,3966760,15%,-0.036,,,Suspended,,,,,,,,,,,,,,,,,TANCO-WC
5257,CARIMIN,0.58,0.58,0.58,-,0.58,0.58,0.945,0.56,199,6.03%,100,48685,33%,-0.013,19.77,2.93,Active,,,,,,,,,,,,,,,,,CARIMIN
6556,ANNJOO,0.72,0.695,0.71,-0.015,0.72,0.695,1.03,0.56,1698,3.60%,38,532070,41%,0.002,-40.54,,Active,,,,,,,,,,,,,,,,,ANNJOO
6633,LHI,0.645,0.65,0.645,+0.005,0.65,0.64,0.775,0.56,28751,4.23%,68,2537265,100%,0.009,11.75,3.76,Active,,,,,,,,,,,,,,,,,LHI
0652JO,HSI-PWJO,0.575,0.55,0.595,-0.045,0.575,0.55,0.825,0.565,50333,,50,4450500,27%,,,,Active,,,,,,,,,,,,,,,,,HSI-PWJO
7207,SUCCESS,0.64,0.65,0.635,+0.015,0.65,0.64,0.915,0.565,493,2.15%,43,101735,44%,0.001,9.45,7.38,Active,,,,,,,,,,,,,,,,,SUCCESS
6009,P&O,0.615,0.615,0.615,-,0.615,0.615,0.76,0.57,10,,-,28725,44%,-0.003,-25.96,,Active,,,,,,,,,,,,,,,,,P&O
6904,SUBUR,0.585,0.59,0.585,+0.005,0.59,0.585,0.84,0.57,111,,35,25620,46%,-0.011,1.7,45.25,Active,,,,,,,,,,,,,,,,,SUBUR
9148,GBAY,0.59,0.645,0.65,-0.005,0.645,0.59,0.68,0.57,146,,-,82940,63%,0.017,-0.22,,Active,,,,,,,,,,,,,,,,,GBAY
0277,CLOUDPT,0.695,0.68,0.695,-0.015,0.7,0.68,1.08,0.575,25977,2.94%,34,2325425,27%,-0.01,3.82,17.65,Active,,,,,,,,,,,,,,,,,CLOUDPT
0291,CHB,0.995,1.09,0.995,+0.095,1.11,0.99,1.14,0.575,23820,,74,730480,51%,0.021,5.19,20.99,Active,,,,,,,,,,,,,,,,,CHB
2186,KUCHAI,0.6,0.6,0.58,+0.020,0.6,0.6,2.21,0.575,100,,-,28040,47%,-0.005,10.4,5.77,Active,,,,,,,,,,,,,,,,,KUCHAI
5278,RHONEMA,0.665,0.665,0.66,+0.005,0.69,0.665,0.8,0.58,3842,2.26%,58,674740,58%,0.012,5.56,11.28,Active,,,,,,,,,,,,,,,,,RHONEMA
7668,BESHOM,0.67,0.67,0.66,+0.010,0.67,0.655,0.925,0.58,1015,5.97%,94,132500,68%,0.016,2.96,23.17,Active,,,,,,,,,,,,,,,,,BESHOM
4758WB,ANCOMNY-WB,,,0.615,,-,-,0.82,0.585,0,,-,497455,52%,-0.007,,,Suspended,,,,,,,,,,,,,,,,,ANCOMNY-WB
7113,TOPGLOV,0.615,0.6,0.615,-0.015,0.62,0.6,1.44,0.585,125982,,37,28315655,29%,-0.024,-0.77,,Active,,,,,,,,,,,,,,,,,TOPGLOV
0652IU,HSI-CWIU,,,0.735,,-,-,0.735,0.59,0,,-,-,0%,,,,Active,,,,,,,,,,,,,,,,,HSI-CWIU
1694,MENANG,0.65,0.65,0.65,-,0.655,0.65,0.755,0.59,700,,1,29465,47%,-0.005,5.02,12.78,Active,,,,,,,,,,,,,,,,,MENANG
5843,KPS,0.6,0.6,0.6,-,0.6,0.6,0.72,0.59,500,10.83%,80,66245,45%,-0.005,13.7,4.26,Active,,,,,,,,,,,,,,,,,KPS
7115,SKBSHUT,0.74,0.745,0.745,-,0.745,0.725,1.05,0.595,1832,,28,127910,42%,,12.4,8.85,Active,,,,,,,,,,,,,,,,,SKBSHUT
7132,SMISCOR,,,0.69,,-,-,0.85,0.595,0,,-,8860,61%,-0.007,7.38,5.08,Active,,,,,,,,,,,,,,,,,SMISCOR
9792,SEG,0.625,0.625,0.625,-,0.625,0.625,0.635,0.595,9462,1.60%,93,677740,44%,,0.43,150.77,Active,,,,,,,,,,,,,,,,,SEG
0006,PINEAPP,,,0.615,,-,-,0.775,0.6,0,,-,64305,18%,-0.01,-5.87,,Active,,,,,,,,,,,,,,,,,PINEAPP
1619,DRBHCOM,0.8,0.82,0.8,+0.020,0.83,0.795,1.31,0.6,29583,,60,2992005,38%,-0.015,1.17,14.99,Active,,,,,,,,,,,,,,,,,DRBHCOM
0652JU,HSI-PWJU,,,0.625,,-,-,0.635,0.605,0,,-,-,0%,,,,Active,,,,,,,,,,,,,,,,,HSI-PWJU
5184,CYPARK,0.875,0.865,0.875,-0.01,0.88,0.865,0.96,0.605,30204,,86,5413815,44%,-0.008,-4.88,53.16,Active,,,,,,,,,,,,,,,,,CYPARK
8982,CEPAT,0.67,0.675,0.665,+0.010,0.685,0.67,0.775,0.605,4557,2.96%,75,74805,70%,0.004,6.99,9.9,Active,,,,,,,,,,,,,,,,,CEPAT
0652IQ,HSI-CWIQ,0.655,0.685,0.635,+0.050,0.685,0.635,0.85,0.61,16413,,54,-,0%,,,,Active,,,,,,,,,,,,,,,,,HSI-CWIQ
4995,VERSATL,0.795,0.825,0.79,+0.035,0.84,0.79,0.795,0.61,9550,,53,127540,76%,0.011,2.71,16.98,Active,,,,,,,,,,,,,,,,,VERSATL
5166,CYBERE,0.79,0.805,0.765,+0.040,0.815,0.78,1.02,0.61,170,,95,28085,30%,-0.019,6.07,13.48,Active,,,,,,,,,,,,,,,,,CYBERE
7033,HIGHTEC,0.76,0.755,0.78,-0.025,0.76,0.75,0.825,0.61,163,6.62%,17,39510,60%,0.001,6.18,12.65,Active,,,,,,,,,,,,,,,,,HIGHTEC
8397,TNLOGIS,0.72,0.73,0.735,-0.005,0.735,0.72,0.805,0.61,1491,2.52%,20,63780,64%,0.005,7.88,9.08,Active,,,,,,,,,,,,,,,,,TNLOGIS
0293,KJTS,1.69,1.7,1.68,+0.020,1.74,1.67,1.76,0.615,11128,0.31%,37,1887775,76%,0.123,1.23,138.56,Active,,,,,,,,,,,,,,,,,KJTS
8273,PPHB,0.645,0.655,0.65,+0.005,0.66,0.63,0.9,0.615,2269,0.58%,18,148265,41%,-0.007,15.37,4.26,Active,,,,,,,,,,,,,,,,,PPHB
1368,EDGENTA,0.75,0.75,0.75,-,0.75,0.74,0.94,0.62,2888,5.33%,68,202275,58%,0.007,6.22,12.15,Active,,,,,,,,,,,,,,,,,EDGENTA
1171,MBSB,0.695,0.695,0.695,-,0.7,0.69,0.855,0.62,7611,8.99%,71,2806120,56%,,4.95,14.05,Active,,,,,,,,,,,,,,,,,MBSB
2674,ALCOM,0.78,0.78,0.755,+0.025,0.78,0.76,0.815,0.62,161,3.85%,75,62780,47%,,-2.91,,Active,,,,,,,,,,,,,,,,,ALCOM
5148,UEMS,0.765,0.77,0.76,+0.010,0.785,0.765,1.19,0.62,89716,1.61%,57,8416490,42%,0.004,2.06,38,Active,,,,,,,,,,,,,,,,,UEMS
0245WA,MNHLDG-WA,1.3,1.34,1.3,+0.040,1.37,1.3,1.48,0.625,2175,,55,341255,35%,0.008,,,Active,,,,,,,,,,,,,,,,,MNHLDG-WA
0338,KOPI,1.01,1.01,1.01,-,1.01,0.985,1.04,0.625,74061,,33,8234970,87%,0.046,,,Active,,,,,,,,,,,,,,,,,KOPI
0652IJ,HSI-CWIJ,,,0.625,,-,-,0.825,0.625,0,,-,-,0%,,,,Active,,,,,,,,,,,,,,,,,HSI-CWIJ
0212,SDS,0.71,0.73,0.73,-,0.73,0.7,1.3,0.63,2354,2.05%,10,309445,60%,-0.004,8.12,11.85,Active,,,,,,,,,,,,,,,,,SDS
4286,SEAL,0.715,0.73,0.715,+0.015,0.73,0.715,0.9,0.635,4126,,71,439485,37%,0.001,-0.78,,Active,,,,,,,,,,,,,,,,,SEAL
5125,PANTECH,0.705,0.715,0.7,+0.015,0.715,0.7,1.05,0.635,3076,9.09%,63,631640,55%,0.005,9.91,7.41,Active,,,,,,,,,,,,,,,,,PANTECH
5099,CAPITALA,0.805,0.81,0.805,+0.005,0.815,0.805,1.09,0.64,29540,,55,4701890,45%,-0.007,-11.1,,"Active, Alert",,,,,,,,,,,,,,,,,CAPITALA
5192,KSSC,0.77,0.77,0.77,-,0.77,0.77,0.935,0.64,1,,-,86385,47%,0.003,4.75,19.37,Active,,,,,,,,,,,,,,,,,KSSC
7245PA,CITAGLB-PA,,,0.64,,-,-,1,0.64,0,,-,8080,10%,-0.18,,,Active,,,,,,,,,,,,,,,,,CITAGLB-PA
0825EA,EQ8SID,,,0.752,,-,-,1,0.642,0,,-,5610,65%,0.008,,,Active,,,,,,,,,,,,,,,,,EQ8SID
0271,WELLS,0.665,0.665,0.665,-,0.665,0.665,0.695,0.645,10090,,100,1043535,60%,0.001,1.17,37.59,Active,,,,,,,,,,,,,,,,,WELLS
7155,SKPRES,0.905,0.91,0.91,-,0.925,0.905,1.22,0.645,9912,,37,1233440,33%,-0.01,7.59,12,Active,,,,,,,,,,,,,,,,,SKPRES
0652G6,HSI-CWG6,0.815,0.84,0.795,+0.045,0.84,0.815,1.06,0.65,470,,85,834635,54%,0.024,,,Active,,,,,,,,,,,,,,,,,HSI-CWG6
3565,WCEHB,0.7,0.71,0.7,+0.010,0.725,0.7,0.87,0.65,15055,,56,1127010,50%,0.007,-4.47,,Active,,,,,,,,,,,,,,,,,WCEHB
4936,MALPAC,,,0.845,,-,-,1.1,0.65,0,,-,2265,65%,,-3.01,,Active,,,,,,,,,,,,,,,,,MALPAC
5173,SYGROUP,0.755,0.75,0.755,-0.005,0.755,0.75,1.08,0.65,372,,26,118070,21%,-0.011,10.08,7.7,Active,,,,,,,,,,,,,,,,,SYGROUP
5533,OCB,,,0.68,,-,-,0.895,0.65,0,2.94%,-,5725,50%,-0.003,4.05,12.21,Active,,,,,,,,,,,,,,,,,OCB
6963,VS,0.725,0.705,0.725,-0.02,0.735,0.7,1.2,0.65,170240,3.12%,49,8640200,30%,-0.011,6.41,11.76,Active,,,,,,,,,,,,,,,,,VS
7245,CITAGLB,0.82,0.815,0.815,-,0.82,0.815,1.1,0.65,4532,1.23%,77,762285,43%,-0.004,3.54,23.86,Active,,,,,,,,,,,,,,,,,CITAGLB
8443,HIL,,,0.755,,-,-,0.94,0.65,0,,-,19180,56%,0.009,12.16,5.96,Active,,,,,,,,,,,,,,,,,HIL
9075,THETA,0.905,0.845,0.905,-0.06,0.91,0.84,2.24,0.65,13382,,52,1123535,61%,0.009,-15.1,,Active,,,,,,,,,,,,,,,,,THETA
0297,TSA,0.715,0.72,0.73,-0.01,0.72,0.705,0.92,0.655,249,8.33%,20,8410,53%,0.001,6,12.04,Active,,,,,,,,,,,,,,,,,TSA
5073,NAIM,0.875,0.885,0.88,+0.005,0.885,0.865,1.32,0.655,3001,,59,646540,18%,-0.003,45.58,1.99,Active,,,,,,,,,,,,,,,,,NAIM
5248,BAUTO,0.655,0.66,0.655,+0.005,0.665,0.655,2.51,0.655,41114,25.38%,64,4157525,21%,-0.032,13.35,4.61,Active,,,,,,,,,,,,,,,,,BAUTO
0186,PTRANS,0.69,0.695,0.69,+0.005,0.7,0.685,0.805,0.66,86497,3.24%,87,7495155,50%,-0.002,6.45,11.28,Active,,,,,,,,,,,,,,,,,PTRANS
5006,VARIA,,,0.675,,-,-,1.1,0.66,0,,-,9390,34%,-0.02,-21.48,,Active,,,,,,,,,,,,,,,,,VARIA
5009,WTHORSE,0.89,0.905,0.91,-0.005,0.905,0.89,0.91,0.66,150,,50,18075,55%,0.02,-5.1,,Active,,,,,,,,,,,,,,,,,WTHORSE
5310,KITACON,0.75,0.745,0.75,-0.005,0.75,0.745,0.795,0.665,1884,4.03%,81,129270,43%,,10.38,7.18,Active,,,,,,,,,,,,,,,,,KITACON
7235,SUPERLN,0.785,0.775,0.79,-0.015,0.785,0.775,1.1,0.665,42,3.55%,5,24560,43%,,7.81,10.01,Active,,,,,,,,,,,,,,,,,SUPERLN
0360,SAG,0.855,0.865,0.855,+0.010,0.875,0.855,0.925,0.67,4619,,76,2257065,48%,0.022,,,Active,,,,,,,,,,,,,,,,,SAG
7757,UPA,0.675,0.675,0.675,-,0.675,0.675,0.795,0.67,20,,-,320010,44%,-0.007,0.75,97.43,Active,,,,,,,,,,,,,,,,,UPA
0099,SCICOM,0.995,0.97,0.995,-0.025,0.995,0.97,1,0.675,608,6.70%,39,487085,73%,0.027,6.85,14.16,Active,,,,,,,,,,,,,,,,,SCICOM
3417,E&O,0.84,0.835,0.84,-0.005,0.84,0.835,1.01,0.675,10153,1.20%,45,2178145,41%,-0.001,7.64,11.57,Active,,,,,,,,,,,,,,,,,E&O
5247,KAREX,0.685,0.685,0.69,-0.005,0.685,0.685,1.09,0.675,100,2.19%,-,74095,43%,-0.007,2.23,30.78,Active,,,,,,,,,,,,,,,,,KAREX
0138,ZETRIX,0.88,0.895,0.875,+0.020,0.895,0.875,1.06,0.68,522127,3.06%,59,53106440,44%,-0.01,9.3,9.92,Active,,,,,,,,,,,,,,,,,ZETRIX
5065,ORNA,,,0.8,,-,-,1.03,0.68,0,2.50%,-,13140,50%,-0.01,7.52,10.66,Active,,,,,,,,,,,,,,,,,ORNA
0265,INFOM,1.1,1.1,1.1,-,1.14,1.1,1.5,0.685,15853,1.09%,32,1546010,48%,0.048,3.51,31.38,Active,,,,,,,,,,,,,,,,,INFOM
0117,SMRT,0.945,0.93,0.94,-0.01,0.95,0.93,1.34,0.69,6998,,35,755330,61%,0.003,6.23,14.97,Active,,,,,,,,,,,,,,,,,SMRT
0652GV,HSI-CWGV,,,1.03,,-,-,0.74,0.69,0,,-,-,0%,,,,Active,,,,,,,,,,,,,,,,,HSI-CWGV
2429,TANCO,0.74,0.735,0.74,-0.005,0.755,0.73,2.17,0.69,648893,,89,55351130,22%,-0.045,0.59,277.19,Active,,,,,,,,,,,,,,,,,TANCO
8702,TEXCHEM,0.705,0.705,0.715,-0.01,0.71,0.705,0.965,0.695,529,,49,45210,53%,-0.006,5.75,16.79,Active,,,,,,,,,,,,,,,,,TEXCHEM
0652GF,HSI-CWGF,,,0.95,,-,-,0.97,0.7,0,,-,-,0%,,,,Active,,,,,,,,,,,,,,,,,HSI-CWGF
0652JY,HSI-PWJY,,,0.7,,-,-,0.725,0.7,0,,-,-,0%,,,,Active,,,,,,,,,,,,,,,,,HSI-PWJY
5255,LFG,1.69,1.7,1.7,-,1.72,1.67,1.74,0.7,24944,,59,3054925,96%,0.17,7.55,67.96,Active,,,,,,,,,,,,,,,,,LFG
5308,SENFONG,0.74,0.75,0.74,+0.010,0.75,0.74,1.25,0.7,891,7.33%,54,186870,31%,-0.012,7.94,9.44,Active,,,,,,,,,,,,,,,,,SENFONG
7053,SEEHUP,,,0.8,,-,-,0.94,0.7,0,3.38%,-,29350,55%,-0.001,-2.38,,Active,,,,,,,,,,,,,,,,,SEEHUP
0012,3A,0.73,0.725,0.73,-0.005,0.73,0.725,0.935,0.705,42,3.86%,100,146730,57%,,8.89,8.21,Active,,,,,,,,,,,,,,,,,3A
7134,PWF,0.77,0.775,0.77,+0.005,0.785,0.77,0.975,0.705,6951,5.81%,98,308340,37%,-0.009,9.31,8.34,Active,,,,,,,,,,,,,,,,,PWF
3417LC,E&O-LC,,,0.84,,-,-,0.98,0.71,0,,-,25250,59%,0.005,,,Active,,,,,,,,,,,,,,,,,E&O-LC
5099LA,CAPITALA-LA,0.82,0.82,0.82,-,0.82,0.82,1.08,0.71,12,,-,22180,43%,-0.006,,,"Active, Alert",,,,,,,,,,,,,,,,,CAPITALA-LA
5191,TAMBUN,0.78,0.775,0.775,-,0.78,0.775,1.03,0.71,603,8.90%,35,71770,47%,-0.001,11.27,6.87,Active,,,,,,,,,,,,,,,,,TAMBUN
5123,SENTRAL,0.775,0.78,0.775,+0.005,0.78,0.775,0.815,0.715,5577,8.15%,47,826600,22%,,6.68,11.83,Active,,,,,,,,,,,,,,,,,SENTRAL
5298,OMH,0.72,0.75,0.74,+0.010,0.75,0.71,1.25,0.715,560,,33,26660,23%,-0.018,,,Active,,,,,,,,,,,,,,,,,OMH
7241,NGGB,0.83,0.835,0.83,+0.005,0.835,0.825,0.93,0.715,8758,,94,674770,20%,,2.45,36.38,Active,,,,,,,,,,,,,,,,,NGGB
0249,LGMS,0.735,0.69,0.725,-0.035,0.735,0.69,1.48,0.725,18186,2.17%,28,219265,30%,-0.035,2.71,25.5,Active,,,,,,,,,,,,,,,,,LGMS
8192,MERCURY,,,0.81,,-,-,1.05,0.725,0,,-,8945,65%,-0.015,-13.28,,Active,,,,,,,,,,,,,,,,,MERCURY
0351,LSH,1.14,1.15,1.15,-,1.18,1.12,1.19,0.73,30705,,50,1970275,92%,0.077,,,Active,,,,,,,,,,,,,,,,,LSH
5264,MALAKOF,0.955,0.945,0.95,-0.005,0.965,0.94,1.02,0.73,35745,2.36%,33,3959665,61%,0.018,4.44,15.24,Active,,,,,,,,,,,,,,,,,MALAKOF
7374,TIENWAH,0.81,0.81,0.815,-0.005,0.81,0.81,0.93,0.735,183,6.91%,13,23345,59%,0.002,9.81,6.66,Active,,,,,,,,,,,,,,,,,TIENWAH
0311,GOHUB,0.89,0.91,0.86,+0.050,0.92,0.89,1.53,0.74,2425,,79,393950,55%,0.01,1.4,65,Active,,,,,,,,,,,,,,,,,GOHUB
7169,DOMINAN,0.785,0.785,0.785,-,0.785,0.78,0.855,0.74,252,5.10%,3,21665,44%,-0.002,16.41,4.83,Active,,,,,,,,,,,,,,,,,DOMINAN
7222,IMASPRO,0.75,0.75,0.79,-0.04,0.75,0.75,1.07,0.74,50,,-,22290,61%,-0.009,6.4,11.72,Active,,,,,,,,,,,,,,,,,IMASPRO
5328,LWSABAH,0.84,0.845,0.84,+0.005,0.845,0.83,1.03,0.745,4025,,43,327950,68%,0.007,,,Active,,,,,,,,,,,,,,,,,LWSABAH
0225,SCGBHD,1.92,1.91,1.94,-0.03,1.95,1.91,1.95,0.75,34509,0.84%,36,7041715,71%,0.082,8.62,25.97,Active,,,,,,,,,,,,,,,,,SCGBHD
03024,CETECH,,,0.75,,-,-,0.75,0.75,0,,-,84610,42%,,,,Active,,,,,,,,,,,,,,,,,CETECH
03031,POLYDM,,,0.75,,-,-,0.75,0.75,0,,-,-,100%,,,,Active,,,,,,,,,,,,,,,,,POLYDM
5300,YENHER,0.765,0.76,0.79,-0.03,0.77,0.76,0.985,0.75,350,3.95%,29,31485,60%,0.001,7.2,10.58,Active,,,,,,,,,,,,,,,,,YENHER
7180,SERNKOU,,,0.8,,-,-,1.02,0.75,0,,-,954765,50%,-0.003,-1.29,,Active,,,,,,,,,,,,,,,,,SERNKOU
7811,SAPIND,,,0.8,,-,-,0.95,0.75,0,5.00%,-,8350,41%,-0.008,12.39,6.54,Active,,,,,,,,,,,,,,,,,SAPIND
5336,CKI,0.86,0.885,0.865,+0.020,0.895,0.86,1.11,0.775,40777,,64,2025650,43%,,,,Active,,,,,,,,,,,,,,,,,CKI
5142,WASCO,0.945,0.95,0.945,+0.005,0.955,0.945,1.28,0.78,3920,2.11%,19,403300,42%,-0.009,19.77,4.48,Active,,,,,,,,,,,,,,,,,WASCO
0652GQ,HSI-CWGQ,1.1,1.11,1.06,+0.050,1.12,1.09,1.22,0.785,600,,17,18655,51%,,,,Active,,,,,,,,,,,,,,,,,HSI-CWGQ
2852,CMSB,1.14,1.16,1.14,+0.020,1.16,1.13,1.46,0.785,40411,2.59%,35,5588855,26%,-0.016,11.93,9.98,Active,,,,,,,,,,,,,,,,,CMSB
3298,HEXZA,0.95,0.93,0.935,-0.005,0.95,0.93,1.2,0.79,121,8.06%,42,53725,61%,0.007,3.5,26.97,Active,,,,,,,,,,,,,,,,,HEXZA
5329,AZAMJAYA,1.05,1.07,1.05,+0.020,1.09,1.05,1.32,0.79,20038,,74,199215,53%,0.007,2.56,41.73,Active,,,,,,,,,,,,,,,,,AZAMJAYA
5622,PEB,0.77,0.77,0.8,-0.03,0.77,0.77,0.95,0.79,4,,-,6330,44%,-0.014,-5.32,,Active,,,,,,,,,,,,,,,,,PEB
0001,SCOMNET,0.94,0.935,0.94,-0.005,0.94,0.91,1.46,0.795,2631,2.67%,40,395800,47%,-0.015,3.74,25.69,Active,,,,,,,,,,,,,,,,,SCOMNET
5007,CHINWEL,0.81,0.8,0.8,-,0.81,0.8,1.09,0.795,641,2.20%,-,20740,39%,-0.001,3.17,26.57,Active,,,,,,,,,,,,,,,,,CHINWEL
5110,UOAREIT,0.84,0.835,0.84,-0.005,0.845,0.835,1.02,0.795,1113,7.35%,64,235750,20%,-0.002,5.25,15.9,Active,,,,,,,,,,,,,,,,,UOAREIT
8052,CGB,0.875,0.875,0.875,-,0.885,0.875,1.19,0.795,38183,,23,6110755,36%,-0.001,-26.33,,Active,,,,,,,,,,,,,,,,,CGB
6815,EUPE,0.93,0.935,0.935,-,0.935,0.91,1.21,0.8,669,2.35%,16,57570,63%,-0.007,30.02,2.8,Active,,,,,,,,,,,,,,,,,EUPE
7248,SLP,,,0.87,,-,-,0.93,0.8,0,5.46%,-,10950,50%,0.001,4.43,19.64,Active,,,,,,,,,,,,,,,,,SLP
0089,TEXCYCL,1.08,1.07,1.08,-0.01,1.08,1.06,1.28,0.805,2017,,42,243380,57%,0.012,5.35,20.18,Active,,,,,,,,,,,,,,,,,TEXCYCL
5171,KIMLUN,1.27,1.29,1.27,+0.020,1.3,1.27,1.55,0.805,4106,1.55%,64,814345,45%,0.008,14.24,9.14,Active,,,,,,,,,,,,,,,,,KIMLUN
7218,ARKA,0.805,0.795,0.805,-0.01,0.805,0.795,2.08,0.805,15,,-,12685,7%,-0.1,-11.01,,Active,,,,,,,,,,,,,,,,,ARKA
5100,BPPLAS,0.825,0.84,0.84,-,0.84,0.825,1.32,0.81,95,7.14%,-,106605,29%,-0.022,7.67,10.95,Active,,,,,,,,,,,,,,,,,BPPLAS
5151,HEXTAR,0.9,0.9,0.9,-,0.9,0.9,0.985,0.81,16351,1.44%,100,2285385,44%,-0.002,1.53,49.44,Active,,,,,,,,,,,,,,,,,HEXTAR
0245,MNHLDG,1.49,1.52,1.48,+0.040,1.55,1.48,1.73,0.82,81806,,58,5578160,39%,-0.004,4.19,50.3,Active,,,,,,,,,,,,,,,,,MNHLDG
0233,PEKAT,1.59,1.66,1.58,+0.080,1.67,1.59,1.62,0.82,23818,,64,1788580,63%,0.034,3.41,47.03,Active,,,,,,,,,,,,,,,,,PEKAT
5280,KIPREIT,0.84,0.85,0.84,+0.010,0.85,0.835,0.945,0.82,31994,8.00%,79,2164085,13%,-0.002,15.94,6.8,Active,,,,,,,,,,,,,,,,,KIPREIT
5301,CTOS,0.89,0.885,0.89,-0.005,0.895,0.875,1.33,0.82,21817,3.67%,56,5167390,53%,-0.003,4.6,19.31,Active,,,,,,,,,,,,,,,,,CTOS
0654CS,NIKKEI-CS,,,0.825,,-,-,0.87,0.825,0,,-,-,0%,,,,Active,,,,,,,,,,,,,,,,,NIKKEI-CS
7252,TEOSENG,0.97,0.975,0.965,+0.010,0.98,0.97,2.67,0.825,4903,11.79%,63,502605,57%,0.01,30.97,3.19,Active,,,,,,,,,,,,,,,,,TEOSENG
0276,ADB,1.09,1.14,1.09,+0.050,1.15,1.08,1.29,0.83,17581,3.51%,80,297200,50%,0.002,3.56,32.05,Active,,,,,,,,,,,,,,,,,ADB
3379,INSAS,0.845,0.845,0.85,-0.005,0.845,0.835,1.1,0.83,3079,2.96%,33,735905,53%,-0.003,12.51,6.48,Active,,,,,,,,,,,,,,,,,INSAS
6483,KENANGA,0.895,0.89,0.895,-0.005,0.895,0.885,1.18,0.83,3687,8.99%,48,254835,40%,-0.002,13.18,6.84,Active,,,,,,,,,,,,,,,,,KENANGA
0652JC,HSI-PWJC,,,0.925,,-,-,1.04,0.835,0,,-,-,0%,,,,Active,,,,,,,,,,,,,,,,,HSI-PWJC
0652IH,HSI-CWIH,,,0.935,,-,-,1,0.85,0,,-,-,0%,,,,Active,,,,,,,,,,,,,,,,,HSI-CWIH
5088,APEX,,,0.9,,-,-,1.08,0.85,0,,-,53930,50%,-0.003,3.61,26.26,Active,,,,,,,,,,,,,,,,,APEX
5084,IBRACO,,,1.21,,-,-,1.33,0.85,0,3.31%,-,170910,35%,0.008,8.84,13.17,Active,,,,,,,,,,,,,,,,,IBRACO
5202,MSM,1.05,1.02,1.05,-0.03,1.08,1.02,1.58,0.85,15276,,37,1292865,61%,0.002,4.45,22.94,Active,,,,,,,,,,,,,,,,,MSM
7227,UMSNGB,,,0.99,,-,-,1.08,0.85,0,3.03%,-,14410,63%,0.008,6.57,15.29,Active,,,,,,,,,,,,,,,,,UMSNGB
0239,ECOMATE,1.47,1.47,1.47,-,1.47,1.45,1.49,0.855,15127,,100,1600265,50%,0.009,0.41,358.03,Active,,,,,,,,,,,,,,,,,ECOMATE
7544,QUALITY,,,1.06,,-,-,1.3,0.86,0,,-,3385,6%,-0.012,-13.24,,Active,,,,,,,,,,,,,,,,,QUALITY
3883,MUDA,,,0.87,,-,-,1.37,0.865,0,2.30%,-,7825,42%,-0.018,-16.56,,Active,,,,,,,,,,,,,,,,,MUDA
0821EA,EQ8MY25,,,0.981,,-,-,1.1,0.87,0,,-,525,52%,0.008,,,Active,,,,,,,,,,,,,,,,,EQ8MY25
4758,ANCOMNY,0.91,0.91,0.915,-0.005,0.915,0.91,1.1,0.875,7230,0.05%,10,1177980,36%,-0.004,6.09,16.42,Active,,,,,,,,,,,,,,,,,ANCOMNY
0230,TELADAN,0.93,0.94,0.94,-,0.94,0.93,1.05,0.88,25,0.53%,-,177375,57%,0.012,3.53,27.75,Active,,,,,,,,,,,,,,,,,TELADAN
5789PA,LBS-PA,,,0.93,,-,-,1,0.88,0,,-,7335,52%,0.003,,,Active,,,,,,,,,,,,,,,,,LBS-PA
7233,DUFU,1.08,1.09,1.09,-,1.1,1.08,2.11,0.89,7659,3.21%,48,1976515,27%,-0.03,4.2,26.42,Active,,,,,,,,,,,,,,,,,DUFU
5320,PLINTAS,0.975,0.975,0.975,-,0.975,0.975,0.995,0.895,151,6.52%,100,73495,55%,0.001,2.42,40.37,Active,,,,,,,,,,,,,,,,,PLINTAS
